address_id,company_id,recipient_name,phone,address_line,city,region,postal_code,country_code
1,1,Demo Procurement Team 1,+1-202-555-0100,1 Demo Commerce Street,Demo City,Demo Region,00000,VN
2,2,Demo Procurement Team 2,+1-202-555-0100,2 Demo Commerce Street,Demo City,Demo Region,00000,VN
3,3,Demo Procurement Team 3,+1-202-555-0100,3 Demo Commerce Street,Demo City,Demo Region,00000,VN
4,4,Demo Procurement Team 4,+1-202-555-0100,4 Demo Commerce Street,Demo City,Demo Region,00000,VN
5,5,Demo Procurement Team 5,+1-202-555-0100,5 Demo Commerce Street,Demo City,Demo Region,00000,VN
6,6,Demo Procurement Team 6,+1-202-555-0100,6 Demo Commerce Street,Demo City,Demo Region,00000,VN
7,7,Demo Procurement Team 7,+1-202-555-0100,7 Demo Commerce Street,Demo City,Demo Region,00000,US
8,8,Demo Procurement Team 8,+1-202-555-0100,8 Demo Commerce Street,Demo City,Demo Region,00000,US
9,9,Demo Procurement Team 9,+1-202-555-0100,9 Demo Commerce Street,Demo City,Demo Region,00000,US
10,10,Demo Procurement Team 10,+1-202-555-0100,10 Demo Commerce Street,Demo City,Demo Region,00000,US
11,11,Demo Procurement Team 11,+1-202-555-0100,11 Demo Commerce Street,Demo City,Demo Region,00000,US
12,12,Demo Procurement Team 12,+1-202-555-0100,12 Demo Commerce Street,Demo City,Demo Region,00000,US
13,13,Demo Procurement Team 13,+1-202-555-0100,13 Demo Commerce Street,Demo City,Demo Region,00000,US
14,14,Demo Procurement Team 14,+1-202-555-0100,14 Demo Commerce Street,Demo City,Demo Region,00000,US
15,15,Demo Procurement Team 15,+1-202-555-0100,15 Demo Commerce Street,Demo City,Demo Region,00000,US
16,16,Demo Procurement Team 16,+1-202-555-0100,16 Demo Commerce Street,Demo City,Demo Region,00000,US
17,17,Demo Procurement Team 17,+1-202-555-0100,17 Demo Commerce Street,Demo City,Demo Region,00000,US
18,18,Demo Procurement Team 18,+1-202-555-0100,18 Demo Commerce Street,Demo City,Demo Region,00000,US
19,19,Demo Procurement Team 19,+1-202-555-0100,19 Demo Commerce Street,Demo City,Demo Region,00000,US
20,20,Demo Procurement Team 20,+1-202-555-0100,20 Demo Commerce Street,Demo City,Demo Region,00000,US
21,21,Demo Procurement Team 21,+1-202-555-0100,21 Demo Commerce Street,Demo City,Demo Region,00000,US
22,22,Demo Procurement Team 22,+1-202-555-0100,22 Demo Commerce Street,Demo City,Demo Region,00000,US
23,23,Demo Procurement Team 23,+1-202-555-0100,23 Demo Commerce Street,Demo City,Demo Region,00000,US
24,24,Demo Procurement Team 24,+1-202-555-0100,24 Demo Commerce Street,Demo City,Demo Region,00000,US
25,25,Demo Procurement Team 25,+1-202-555-0100,25 Demo Commerce Street,Demo City,Demo Region,00000,US
26,26,Demo Procurement Team 26,+1-202-555-0100,26 Demo Commerce Street,Demo City,Demo Region,00000,US
27,27,Demo Procurement Team 27,+1-202-555-0100,27 Demo Commerce Street,Demo City,Demo Region,00000,US
28,28,Demo Procurement Team 28,+1-202-555-0100,28 Demo Commerce Street,Demo City,Demo Region,00000,US
29,29,Demo Procurement Team 29,+1-202-555-0100,29 Demo Commerce Street,Demo City,Demo Region,00000,US
30,30,Demo Procurement Team 30,+1-202-555-0100,30 Demo Commerce Street,Demo City,Demo Region,00000,US
31,31,Demo Procurement Team 31,+1-202-555-0100,31 Demo Commerce Street,Demo City,Demo Region,00000,US
32,32,Demo Procurement Team 32,+1-202-555-0100,32 Demo Commerce Street,Demo City,Demo Region,00000,US
33,33,Demo Procurement Team 33,+1-202-555-0100,33 Demo Commerce Street,Demo City,Demo Region,00000,US
34,34,Demo Procurement Team 34,+1-202-555-0100,34 Demo Commerce Street,Demo City,Demo Region,00000,US
35,35,Demo Procurement Team 35,+1-202-555-0100,35 Demo Commerce Street,Demo City,Demo Region,00000,US
36,36,Demo Procurement Team 36,+1-202-555-0100,36 Demo Commerce Street,Demo City,Demo Region,00000,US
37,37,Demo Procurement Team 37,+1-202-555-0100,37 Demo Commerce Street,Demo City,Demo Region,00000,US
38,38,Demo Procurement Team 38,+1-202-555-0100,38 Demo Commerce Street,Demo City,Demo Region,00000,US
39,39,Demo Procurement Team 39,+1-202-555-0100,39 Demo Commerce Street,Demo City,Demo Region,00000,US
40,40,Demo Procurement Team 40,+1-202-555-0100,40 Demo Commerce Street,Demo City,Demo Region,00000,US
41,41,Demo Procurement Team 41,+1-202-555-0100,41 Demo Commerce Street,Demo City,Demo Region,00000,US
42,42,Demo Procurement Team 42,+1-202-555-0100,42 Demo Commerce Street,Demo City,Demo Region,00000,US
43,43,Demo Procurement Team 43,+1-202-555-0100,43 Demo Commerce Street,Demo City,Demo Region,00000,US
44,44,Demo Procurement Team 44,+1-202-555-0100,44 Demo Commerce Street,Demo City,Demo Region,00000,US
45,45,Demo Procurement Team 45,+1-202-555-0100,45 Demo Commerce Street,Demo City,Demo Region,00000,US
46,46,Demo Procurement Team 46,+1-202-555-0100,46 Demo Commerce Street,Demo City,Demo Region,00000,US
47,47,Demo Procurement Team 47,+1-202-555-0100,47 Demo Commerce Street,Demo City,Demo Region,00000,VN
