aircraft_id,company_id,registration_number,manufacturer,model,aircraft_type,year,status,created_at
1,1,DEMO-0001,BOEING,KC-135R,FAA_TYPE_5,1963,ACTIVE,2026-09-01 00:00:00
2,2,DEMO-0002,BOEING,KC-135R,FAA_TYPE_5,1961,ACTIVE,2026-09-01 00:00:00
3,3,DEMO-0003,AIRBUS,A321-211,FAA_TYPE_5,2009,ACTIVE,2026-09-01 00:00:00
4,4,DEMO-0004,BOEING,737-3TO,FAA_TYPE_5,1987,ACTIVE,2026-09-01 00:00:00
5,5,DEMO-0005,BOEING,737-3H4,FAA_TYPE_5,1995,ACTIVE,2026-09-01 00:00:00
6,6,DEMO-0006,BOEING,737-300,FAA_TYPE_5,1986,ACTIVE,2026-09-01 00:00:00
7,1,DEMO-0007,BOEING,737-3B7,FAA_TYPE_5,1987,ACTIVE,2026-09-01 00:00:00
8,2,DEMO-0008,BOEING,737-3H4,FAA_TYPE_5,1996,ACTIVE,2026-09-01 00:00:00
9,3,DEMO-0009,BOEING,737-4Q8,FAA_TYPE_5,1992,ACTIVE,2026-09-01 00:00:00
10,4,DEMO-0010,BOEING,737-3Q8,FAA_TYPE_5,,ACTIVE,2026-09-01 00:00:00
11,5,DEMO-0011,BOEING,737-484,FAA_TYPE_5,1993,ACTIVE,2026-09-01 00:00:00
12,6,DEMO-0012,BOEING,737-400,FAA_TYPE_5,1994,ACTIVE,2026-09-01 00:00:00
13,1,DEMO-0013,AIRBUS SAS,A321-213,FAA_TYPE_5,2016,ACTIVE,2026-09-01 00:00:00
14,2,DEMO-0014,AIRBUS SAS,A321-213,FAA_TYPE_5,2016,ACTIVE,2026-09-01 00:00:00
15,3,DEMO-0015,AIRBUS,A321-211,FAA_TYPE_5,2020,ACTIVE,2026-09-01 00:00:00
16,4,DEMO-0016,AIRBUS,A321-211,FAA_TYPE_5,2020,ACTIVE,2026-09-01 00:00:00
17,5,DEMO-0017,AIRBUS,A321-211,FAA_TYPE_5,2013,ACTIVE,2026-09-01 00:00:00
18,6,DEMO-0018,AIRBUS,A321-211,FAA_TYPE_5,2013,ACTIVE,2026-09-01 00:00:00
19,1,DEMO-0019,AIRBUS,A320-214,FAA_TYPE_5,2009,ACTIVE,2026-09-01 00:00:00
20,2,DEMO-0020,AIRBUS,A320-214,FAA_TYPE_5,2009,ACTIVE,2026-09-01 00:00:00
21,3,DEMO-0021,AIRBUS,A320-214,FAA_TYPE_5,2013,ACTIVE,2026-09-01 00:00:00
22,4,DEMO-0022,AIRBUS,A320-214,FAA_TYPE_5,2013,ACTIVE,2026-09-01 00:00:00
23,5,DEMO-0023,AIRBUS,A320-214,FAA_TYPE_5,2000,ACTIVE,2026-09-01 00:00:00
24,6,DEMO-0024,AIRBUS,A320-214,FAA_TYPE_5,2000,ACTIVE,2026-09-01 00:00:00
