engine_model_id,manufacturer,model_name,engine_family,engine_type
1,A.C.E.,HIDR MARK III,,FAA_TYPE_1
2,A.C.E.,UPRI MARK III,,FAA_TYPE_1
3,AEROCONVER,AEROVEE,,FAA_TYPE_1
4,AEROCONVER,AEROVEE 2.1,,FAA_TYPE_1
5,AEROCONVER,AEROVEE 2.1 T,,FAA_TYPE_1
6,AEROMAX,100 IFB,,FAA_TYPE_1
7,AEROMOMENT,AM13 SERIES,,FAA_TYPE_8
8,AEROMOMENT,AM15 SERIES,,FAA_TYPE_8
9,AEROMOTORS,M-14PFXDK,,FAA_TYPE_1
10,AEROMOTORS,M14P-XEDK,,FAA_TYPE_1
11,AEROMOTORS,M14PF,,FAA_TYPE_1
12,AERONCA,E-113,,FAA_TYPE_1
13,AERONCA,E-113A,,FAA_TYPE_1
14,AERONCA,E-113B,,FAA_TYPE_1
15,AERONCA,E-113C,,FAA_TYPE_1
16,AERONCA,E-113CB,,FAA_TYPE_1
17,AERONCA,E-113CD,,FAA_TYPE_1
18,AERONCA,E-113CDB,,FAA_TYPE_1
19,AERONCA,E107A,,FAA_TYPE_1
20,AERONCA,E113 SERIES,,FAA_TYPE_1
21,AEROSPORT,CC-340,,FAA_TYPE_1
22,AEROSPORT,CC363I,,FAA_TYPE_1
23,AEROSPORT,ECIIO375M1SD,,FAA_TYPE_1
24,AEROSPORT,IO-360 SERIES,,FAA_TYPE_1
25,AEROSPORT,IO-360MI,,FAA_TYPE_1
26,AEROSPORT,IO-375 SERIES,,FAA_TYPE_1
27,AEROSPORT,IO-375-B1B,,FAA_TYPE_1
28,AEROSPORT,IO-375-M1,,FAA_TYPE_1
29,AEROSPORT,IO-375-M2S,,FAA_TYPE_1
30,AEROSPORT,IO-375M1S,,FAA_TYPE_1
31,AEROSPORT,IO-390,,FAA_TYPE_1
32,AEROSPORT,IO-400-M1S,,FAA_TYPE_1
33,AEROSPORT,IO-540-D4A5,,FAA_TYPE_1
34,AEROSPORT,IO-540-EXP,,FAA_TYPE_1
35,AEROSPORT,IO382 SERIES,,FAA_TYPE_8
36,AEROSPORT,O-320-D1A,,FAA_TYPE_1
37,AEROSPORT,O-360,,FAA_TYPE_1
38,AEROSPORT,O-360 A2A,,FAA_TYPE_1
39,AEROSPORT,O-360-A1A,,FAA_TYPE_1
40,AEROSPORT,O-375-A1A,,FAA_TYPE_1
41,AEROSPORT,O-375-A2A,,FAA_TYPE_1
42,AEROSPORT,O/IO-320 SER,,FAA_TYPE_1
43,AEROSPORT,O/IO-340 SERI,,FAA_TYPE_1
44,AEROSPORT,OX340,,FAA_TYPE_1
45,AEROSTAR,M-14P,,FAA_TYPE_1
46,AEROTEC,O-320,,FAA_TYPE_1
47,AEROTECNIK,MIKRON III,,FAA_TYPE_1
48,AEROVEE,2.0,,FAA_TYPE_8
49,AEROVEE,2.1,,FAA_TYPE_8
50,AEROVEE,2.1 TURBO,,FAA_TYPE_8
51,AEROVEE,2002,,FAA_TYPE_1
52,AEROVEE,2180,,FAA_TYPE_8
53,AIRESEARCH,331 SER 605HP,,FAA_TYPE_2
54,AIRESEARCH,331SER 1008HP,,FAA_TYPE_2
55,AIRESEARCH,331SER 705HP,,FAA_TYPE_2
56,AIRESEARCH,331SER 755HP,,FAA_TYPE_5
57,AIRESEARCH,331SER 904HP,,FAA_TYPE_2
58,AIRESEARCH,ATF3-6A-4C,,FAA_TYPE_4
59,AIRESEARCH,GTC-85-135,,FAA_TYPE_2
60,AIRESEARCH,TFE-732-2-1C,,FAA_TYPE_4
61,AIRESEARCH,TFE731 SER,,FAA_TYPE_4
62,AIRESEARCH,TFE731-3R-1H,,FAA_TYPE_5
63,AIRESEARCH,TPE-331-10UG,,FAA_TYPE_2
64,AIRESEARCH,TPE-331-5254K,,FAA_TYPE_2
65,AIRESEARCH,TPE331 SERIES,,FAA_TYPE_2
66,AIRESEARCH,TPE331-1,,FAA_TYPE_2
67,AIRESEARCH,TPE331-10,,FAA_TYPE_2
68,AIRESEARCH,TPE331-10A,,FAA_TYPE_2
69,AIRESEARCH,TPE331-10AV,,FAA_TYPE_2
70,AIRESEARCH,TPE331-10B,,FAA_TYPE_2
71,AIRESEARCH,TPE331-10G,,FAA_TYPE_2
72,AIRESEARCH,TPE331-10GP,,FAA_TYPE_2
73,AIRESEARCH,TPE331-10GR,,FAA_TYPE_2
74,AIRESEARCH,TPE331-10GT,,FAA_TYPE_2
75,AIRESEARCH,TPE331-10J,,FAA_TYPE_2
76,AIRESEARCH,TPE331-10N,,FAA_TYPE_2
77,AIRESEARCH,TPE331-10P,,FAA_TYPE_2
78,AIRESEARCH,TPE331-10R,,FAA_TYPE_2
79,AIRESEARCH,TPE331-10T,,FAA_TYPE_2
80,AIRESEARCH,TPE331-10U,,FAA_TYPE_2
81,AIRESEARCH,TPE331-10UA,,FAA_TYPE_2
82,AIRESEARCH,TPE331-10UF,,FAA_TYPE_2
83,AIRESEARCH,TPE331-10UGR,,FAA_TYPE_2
84,AIRESEARCH,TPE331-10UJ,,FAA_TYPE_2
85,AIRESEARCH,TPE331-10UK,,FAA_TYPE_2
86,AIRESEARCH,TPE331-10UR,,FAA_TYPE_2
87,AIRESEARCH,TPE331-11U,,FAA_TYPE_2
88,AIRESEARCH,TPE331-11UA,,FAA_TYPE_2
89,AIRESEARCH,TPE331-12,,FAA_TYPE_2
90,AIRESEARCH,TPE331-12B,,FAA_TYPE_2
91,AIRESEARCH,TPE331-12JR,,FAA_TYPE_2
92,AIRESEARCH,TPE331-12UA,,FAA_TYPE_2
93,AIRESEARCH,TPE331-12UAR,,FAA_TYPE_2
94,AIRESEARCH,TPE331-12UER,,FAA_TYPE_2
95,AIRESEARCH,TPE331-12UHR,,FAA_TYPE_2
96,AIRESEARCH,TPE331-1U,,FAA_TYPE_2
97,AIRESEARCH,TPE331-2,,FAA_TYPE_2
98,AIRESEARCH,TPE331-25A,,FAA_TYPE_2
99,AIRESEARCH,TPE331-25AA,,FAA_TYPE_2
100,AIRESEARCH,TPE331-25AB,,FAA_TYPE_2
101,AIRESEARCH,TPE331-25B,,FAA_TYPE_2
102,AIRESEARCH,TPE331-25C,,FAA_TYPE_2
103,AIRESEARCH,TPE331-25D,,FAA_TYPE_2
104,AIRESEARCH,TPE331-25DA,,FAA_TYPE_2
105,AIRESEARCH,TPE331-25DB,,FAA_TYPE_2
106,AIRESEARCH,TPE331-25E,,FAA_TYPE_2
107,AIRESEARCH,TPE331-25F,,FAA_TYPE_2
108,AIRESEARCH,TPE331-25FA,,FAA_TYPE_2
109,AIRESEARCH,TPE331-29A,,FAA_TYPE_2
110,AIRESEARCH,TPE331-2U,,FAA_TYPE_2
111,AIRESEARCH,TPE331-2UA,,FAA_TYPE_2
112,AIRESEARCH,TPE331-3,,FAA_TYPE_2
113,AIRESEARCH,TPE331-3U,,FAA_TYPE_2
114,AIRESEARCH,TPE331-3UW,,FAA_TYPE_2
115,AIRESEARCH,TPE331-3W,,FAA_TYPE_2
116,AIRESEARCH,TPE331-43,,FAA_TYPE_2
117,AIRESEARCH,TPE331-43-A,,FAA_TYPE_2
118,AIRESEARCH,TPE331-43-B,,FAA_TYPE_2
119,AIRESEARCH,TPE331-45,,FAA_TYPE_2
120,AIRESEARCH,TPE331-47,,FAA_TYPE_2
121,AIRESEARCH,TPE331-47-A,,FAA_TYPE_2
