engine_id,aircraft_id,engine_model_id,engine_code,serial_number,current_cycle,created_at
1,1,524,ENG-001,DEMO-ENGINE-00001,1409,2026-09-01 00:00:00
2,2,524,ENG-002,DEMO-ENGINE-00002,328,2026-09-01 00:00:00
3,3,526,ENG-003,DEMO-ENGINE-00003,151,2026-09-01 00:00:00
4,4,526,ENG-004,DEMO-ENGINE-00004,663,2026-09-01 00:00:00
5,5,527,ENG-005,DEMO-ENGINE-00005,601,2026-09-01 00:00:00
6,6,527,ENG-006,DEMO-ENGINE-00006,557,2026-09-01 00:00:00
7,7,528,ENG-007,DEMO-ENGINE-00007,385,2026-09-01 00:00:00
8,8,528,ENG-008,DEMO-ENGINE-00008,309,2026-09-01 00:00:00
9,9,529,ENG-009,DEMO-ENGINE-00009,1485,2026-09-01 00:00:00
10,10,529,ENG-010,DEMO-ENGINE-00010,1216,2026-09-01 00:00:00
11,11,530,ENG-011,DEMO-ENGINE-00011,278,2026-09-01 00:00:00
12,12,530,ENG-012,DEMO-ENGINE-00012,1309,2026-09-01 00:00:00
13,13,542,ENG-013,DEMO-ENGINE-00013,964,2026-09-01 00:00:00
14,14,542,ENG-014,DEMO-ENGINE-00014,165,2026-09-01 00:00:00
15,15,547,ENG-015,DEMO-ENGINE-00015,161,2026-09-01 00:00:00
16,16,547,ENG-016,DEMO-ENGINE-00016,291,2026-09-01 00:00:00
17,17,548,ENG-017,DEMO-ENGINE-00017,547,2026-09-01 00:00:00
18,18,548,ENG-018,DEMO-ENGINE-00018,576,2026-09-01 00:00:00
19,19,550,ENG-019,DEMO-ENGINE-00019,1134,2026-09-01 00:00:00
20,20,550,ENG-020,DEMO-ENGINE-00020,1332,2026-09-01 00:00:00
21,21,553,ENG-021,DEMO-ENGINE-00021,154,2026-09-01 00:00:00
22,22,553,ENG-022,DEMO-ENGINE-00022,1249,2026-09-01 00:00:00
23,23,554,ENG-023,DEMO-ENGINE-00023,507,2026-09-01 00:00:00
24,24,554,ENG-024,DEMO-ENGINE-00024,1430,2026-09-01 00:00:00
