listing_id,supplier_id,product_id,seller_sku,condition,price,stock_quantity,lead_time_days,status,updated_at
1,4,1,DEMO-S04-P0001,NEW,3833.69,20,27,ACTIVE,2026-09-01 00:00:00
2,11,1,DEMO-S11-P0001,REFURBISHED,2760.26,16,20,ACTIVE,2026-09-01 00:00:00
3,23,1,DEMO-S23-P0001,USED,1916.85,10,18,ACTIVE,2026-09-01 00:00:00
4,28,2,DEMO-S28-P0002,NEW,1106.89,17,31,ACTIVE,2026-09-01 00:00:00
5,35,2,DEMO-S35-P0002,REFURBISHED,796.96,21,24,ACTIVE,2026-09-01 00:00:00
6,7,2,DEMO-S07-P0002,USED,553.44,11,22,ACTIVE,2026-09-01 00:00:00
7,40,3,DEMO-S40-P0003,NEW,362.08,1,49,DRAFT,2026-09-01 00:00:00
8,7,3,DEMO-S07-P0003,REFURBISHED,260.69,3,42,ACTIVE,2026-09-01 00:00:00
9,19,3,DEMO-S19-P0003,USED,181.04,8,40,ACTIVE,2026-09-01 00:00:00
10,34,4,DEMO-S34-P0004,NEW,20606.52,16,33,ACTIVE,2026-09-01 00:00:00
11,1,4,DEMO-S01-P0004,REFURBISHED,14836.69,0,26,ACTIVE,2026-09-01 00:00:00
12,13,4,DEMO-S13-P0004,USED,10303.26,13,24,ACTIVE,2026-09-01 00:00:00
13,24,5,DEMO-S24-P0005,NEW,2177.93,11,63,ACTIVE,2026-09-01 00:00:00
14,31,5,DEMO-S31-P0005,REFURBISHED,1568.11,1,56,ACTIVE,2026-09-01 00:00:00
15,3,5,DEMO-S03-P0005,USED,1088.97,7,54,ACTIVE,2026-09-01 00:00:00
16,2,6,DEMO-S02-P0006,NEW,1097.84,9,68,ACTIVE,2026-09-01 00:00:00
17,9,6,DEMO-S09-P0006,REFURBISHED,790.45,13,61,ACTIVE,2026-09-01 00:00:00
18,21,6,DEMO-S21-P0006,USED,548.92,6,59,ACTIVE,2026-09-01 00:00:00
19,40,7,DEMO-S40-P0007,NEW,4397.61,5,46,DRAFT,2026-09-01 00:00:00
20,7,7,DEMO-S07-P0007,REFURBISHED,3166.28,15,39,ACTIVE,2026-09-01 00:00:00
21,19,7,DEMO-S19-P0007,USED,2198.81,1,37,ACTIVE,2026-09-01 00:00:00
22,18,8,DEMO-S18-P0008,NEW,477.94,0,50,ACTIVE,2026-09-01 00:00:00
23,25,8,DEMO-S25-P0008,REFURBISHED,344.12,6,43,ACTIVE,2026-09-01 00:00:00
24,37,8,DEMO-S37-P0008,USED,238.97,14,41,DRAFT,2026-09-01 00:00:00
25,12,9,DEMO-S12-P0009,NEW,4970.58,14,22,ACTIVE,2026-09-01 00:00:00
26,19,9,DEMO-S19-P0009,REFURBISHED,3578.81,22,15,ACTIVE,2026-09-01 00:00:00
27,31,9,DEMO-S31-P0009,USED,2485.29,11,13,ACTIVE,2026-09-01 00:00:00
28,36,10,DEMO-S36-P0010,NEW,2456.70,1,33,ACTIVE,2026-09-01 00:00:00
29,3,10,DEMO-S03-P0010,REFURBISHED,1768.83,4,26,ACTIVE,2026-09-01 00:00:00
30,15,10,DEMO-S15-P0010,USED,1228.35,17,24,ACTIVE,2026-09-01 00:00:00
31,30,11,DEMO-S30-P0011,NEW,887.73,20,40,ACTIVE,2026-09-01 00:00:00
32,37,11,DEMO-S37-P0011,REFURBISHED,639.17,6,33,DRAFT,2026-09-01 00:00:00
33,9,11,DEMO-S09-P0011,USED,443.87,0,31,ACTIVE,2026-09-01 00:00:00
34,30,12,DEMO-S30-P0012,NEW,585.80,15,49,ACTIVE,2026-09-01 00:00:00
35,37,12,DEMO-S37-P0012,REFURBISHED,421.78,1,42,DRAFT,2026-09-01 00:00:00
36,9,12,DEMO-S09-P0012,USED,292.90,5,40,ACTIVE,2026-09-01 00:00:00
37,12,13,DEMO-S12-P0013,NEW,2889.79,20,33,ACTIVE,2026-09-01 00:00:00
38,19,13,DEMO-S19-P0013,REFURBISHED,2080.65,12,26,ACTIVE,2026-09-01 00:00:00
39,31,13,DEMO-S31-P0013,USED,1444.90,23,24,ACTIVE,2026-09-01 00:00:00
40,40,14,DEMO-S40-P0014,NEW,310.36,22,46,DRAFT,2026-09-01 00:00:00
41,7,14,DEMO-S07-P0014,REFURBISHED,223.46,14,39,ACTIVE,2026-09-01 00:00:00
42,19,14,DEMO-S19-P0014,USED,155.18,1,37,ACTIVE,2026-09-01 00:00:00
43,19,15,DEMO-S19-P0015,NEW,4955.66,21,36,ACTIVE,2026-09-01 00:00:00
44,26,15,DEMO-S26-P0015,REFURBISHED,3568.07,0,29,ACTIVE,2026-09-01 00:00:00
45,38,15,DEMO-S38-P0015,USED,2477.83,9,27,DRAFT,2026-09-01 00:00:00
46,22,16,DEMO-S22-P0016,NEW,3372.85,5,15,ACTIVE,2026-09-01 00:00:00
47,29,16,DEMO-S29-P0016,REFURBISHED,2428.45,4,8,ACTIVE,2026-09-01 00:00:00
48,1,16,DEMO-S01-P0016,USED,1686.42,24,6,ACTIVE,2026-09-01 00:00:00
49,31,17,DEMO-S31-P0017,NEW,10663.08,1,44,ACTIVE,2026-09-01 00:00:00
50,38,17,DEMO-S38-P0017,REFURBISHED,7677.41,10,37,DRAFT,2026-09-01 00:00:00
51,10,17,DEMO-S10-P0017,USED,5331.54,12,35,ACTIVE,2026-09-01 00:00:00
52,27,18,DEMO-S27-P0018,NEW,1903.09,5,44,ACTIVE,2026-09-01 00:00:00
