supplier_id,company_id,store_name,slug,description,logo_object_key,status,created_at
1,7,Demo Aero Supply 001,demo-aero-supply-001,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
2,8,Demo Aero Supply 002,demo-aero-supply-002,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
3,9,Demo Aero Supply 003,demo-aero-supply-003,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
4,10,Demo Aero Supply 004,demo-aero-supply-004,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
5,11,Demo Aero Supply 005,demo-aero-supply-005,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
6,12,Demo Aero Supply 006,demo-aero-supply-006,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
7,13,Demo Aero Supply 007,demo-aero-supply-007,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
8,14,Demo Aero Supply 008,demo-aero-supply-008,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
9,15,Demo Aero Supply 009,demo-aero-supply-009,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
10,16,Demo Aero Supply 010,demo-aero-supply-010,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
11,17,Demo Aero Supply 011,demo-aero-supply-011,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
12,18,Demo Aero Supply 012,demo-aero-supply-012,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
13,19,Demo Aero Supply 013,demo-aero-supply-013,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
14,20,Demo Aero Supply 014,demo-aero-supply-014,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
15,21,Demo Aero Supply 015,demo-aero-supply-015,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
16,22,Demo Aero Supply 016,demo-aero-supply-016,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
17,23,Demo Aero Supply 017,demo-aero-supply-017,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
18,24,Demo Aero Supply 018,demo-aero-supply-018,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
19,25,Demo Aero Supply 019,demo-aero-supply-019,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
20,26,Demo Aero Supply 020,demo-aero-supply-020,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
21,27,Demo Aero Supply 021,demo-aero-supply-021,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
22,28,Demo Aero Supply 022,demo-aero-supply-022,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
23,29,Demo Aero Supply 023,demo-aero-supply-023,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
24,30,Demo Aero Supply 024,demo-aero-supply-024,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
25,31,Demo Aero Supply 025,demo-aero-supply-025,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
26,32,Demo Aero Supply 026,demo-aero-supply-026,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
27,33,Demo Aero Supply 027,demo-aero-supply-027,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
28,34,Demo Aero Supply 028,demo-aero-supply-028,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
29,35,Demo Aero Supply 029,demo-aero-supply-029,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
30,36,Demo Aero Supply 030,demo-aero-supply-030,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
31,37,Demo Aero Supply 031,demo-aero-supply-031,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
32,38,Demo Aero Supply 032,demo-aero-supply-032,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
33,39,Demo Aero Supply 033,demo-aero-supply-033,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
34,40,Demo Aero Supply 034,demo-aero-supply-034,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
35,41,Demo Aero Supply 035,demo-aero-supply-035,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
36,42,Demo Aero Supply 036,demo-aero-supply-036,Custom supplier for the student marketplace demo.,,APPROVED,2026-09-01 00:00:00
37,43,Demo Aero Supply 037,demo-aero-supply-037,Custom supplier for the student marketplace demo.,,PENDING,2026-09-01 00:00:00
38,44,Demo Aero Supply 038,demo-aero-supply-038,Custom supplier for the student marketplace demo.,,PENDING,2026-09-01 00:00:00
39,45,Demo Aero Supply 039,demo-aero-supply-039,Custom supplier for the student marketplace demo.,,SUSPENDED,2026-09-01 00:00:00
40,46,Demo Aero Supply 040,demo-aero-supply-040,Custom supplier for the student marketplace demo.,,SUSPENDED,2026-09-01 00:00:00
