source_codes,manufacturer,model_name,source_type_codes,source
00401,A.C.E.,HIDR MARK III,1,faa/faa_registry/ENGINE.txt
00402,A.C.E.,UPRI MARK III,1,faa/faa_registry/ENGINE.txt
01401,AEROCONVER,AEROVEE,1,faa/faa_registry/ENGINE.txt
01404,AEROCONVER,AEROVEE 2.1,1,faa/faa_registry/ENGINE.txt
01398,AEROCONVER,AEROVEE 2.1 T,1,faa/faa_registry/ENGINE.txt
00550,AEROMAX,100 IFB,1,faa/faa_registry/ENGINE.txt
00450,AEROMOMENT,AM13 SERIES,8,faa/faa_registry/ENGINE.txt
00452,AEROMOMENT,AM15 SERIES,8,faa/faa_registry/ENGINE.txt
00500,AEROMOTORS,M-14PFXDK,1,faa/faa_registry/ENGINE.txt
00501,AEROMOTORS,M14P-XEDK,1,faa/faa_registry/ENGINE.txt
00511,AEROMOTORS,M14PF,1,faa/faa_registry/ENGINE.txt
01003,AERONCA,E-113,1,faa/faa_registry/ENGINE.txt
01004,AERONCA,E-113A,1,faa/faa_registry/ENGINE.txt
01006,AERONCA,E-113B,1,faa/faa_registry/ENGINE.txt
01007,AERONCA,E-113C,1,faa/faa_registry/ENGINE.txt
01009,AERONCA,E-113CB,1,faa/faa_registry/ENGINE.txt
01010,AERONCA,E-113CD,1,faa/faa_registry/ENGINE.txt
01008,AERONCA,E-113CDB,1,faa/faa_registry/ENGINE.txt
01001,AERONCA,E107A,1,faa/faa_registry/ENGINE.txt
01002,AERONCA,E113 SERIES,1,faa/faa_registry/ENGINE.txt
01320,AEROSPORT,CC-340,1,faa/faa_registry/ENGINE.txt
01321,AEROSPORT,CC363I,1,faa/faa_registry/ENGINE.txt
01319,AEROSPORT,ECIIO375M1SD,1,faa/faa_registry/ENGINE.txt
01306,AEROSPORT,IO-360 SERIES,1,faa/faa_registry/ENGINE.txt
01309,AEROSPORT,IO-360MI,1,faa/faa_registry/ENGINE.txt
01305,AEROSPORT,IO-375 SERIES,1,faa/faa_registry/ENGINE.txt
01310,AEROSPORT,IO-375-B1B,1,faa/faa_registry/ENGINE.txt
01312,AEROSPORT,IO-375-M1,1,faa/faa_registry/ENGINE.txt
01330,AEROSPORT,IO-375-M2S,1,faa/faa_registry/ENGINE.txt
01325,AEROSPORT,IO-375M1S,1,faa/faa_registry/ENGINE.txt
01304,AEROSPORT,IO-390,1,faa/faa_registry/ENGINE.txt
01311,AEROSPORT,IO-400-M1S,1,faa/faa_registry/ENGINE.txt
01308,AEROSPORT,IO-540-D4A5,1,faa/faa_registry/ENGINE.txt
01322,AEROSPORT,IO-540-EXP,1,faa/faa_registry/ENGINE.txt
01315,AEROSPORT,IO382 SERIES,8,faa/faa_registry/ENGINE.txt
01302,AEROSPORT,O-320-D1A,1,faa/faa_registry/ENGINE.txt
01300,AEROSPORT,O-360,1,faa/faa_registry/ENGINE.txt
01303,AEROSPORT,O-360 A2A,1,faa/faa_registry/ENGINE.txt
01301,AEROSPORT,O-360-A1A,1,faa/faa_registry/ENGINE.txt
01499,AEROSPORT,O-375-A1A,1,faa/faa_registry/ENGINE.txt
01399,AEROSPORT,O-375-A2A,1,faa/faa_registry/ENGINE.txt
01307,AEROSPORT,O/IO-320 SER,1,faa/faa_registry/ENGINE.txt
01410,AEROSPORT,O/IO-340 SERI,1,faa/faa_registry/ENGINE.txt
01326,AEROSPORT,OX340,1,faa/faa_registry/ENGINE.txt
00600,AEROSTAR,M-14P,1,faa/faa_registry/ENGINE.txt
63203,AEROTEC,O-320,1,faa/faa_registry/ENGINE.txt
64203,AEROTECNIK,MIKRON III,1,faa/faa_registry/ENGINE.txt
01403,AEROVEE,2.0,8,faa/faa_registry/ENGINE.txt
01402,AEROVEE,2.1,8,faa/faa_registry/ENGINE.txt
01406,AEROVEE,2.1 TURBO,8,faa/faa_registry/ENGINE.txt
01405,AEROVEE,2002,1,faa/faa_registry/ENGINE.txt
01400,AEROVEE,2180,8,faa/faa_registry/ENGINE.txt
01502,AIRESEARCH,331 SER 605HP,2,faa/faa_registry/ENGINE.txt
01512,AIRESEARCH,331SER 1008HP,2,faa/faa_registry/ENGINE.txt
01506,AIRESEARCH,331SER 705HP,2,faa/faa_registry/ENGINE.txt
