source_part_id,part_family,unit_cost,lead_time_days,source_supplier_id,criticality_class,is_repairable,shelf_life_days,source
P00001,Electrical,2323.45,27,SUP004,B,False,735,aviation_parts/parts_master/parts_master.csv
P00002,Cabin,670.84,31,SUP028,C,False,,aviation_parts/parts_master/parts_master.csv
P00003,Avionics,219.44,49,SUP040,C,True,,aviation_parts/parts_master/parts_master.csv
P00004,Electrical,12488.80,33,SUP034,A,False,,aviation_parts/parts_master/parts_master.csv
P00005,Cabin,1319.96,63,SUP024,C,False,,aviation_parts/parts_master/parts_master.csv
P00006,Cabin,665.36,68,SUP002,C,False,,aviation_parts/parts_master/parts_master.csv
P00007,Fasteners,2665.22,46,SUP040,B,False,,aviation_parts/parts_master/parts_master.csv
P00008,Avionics,289.66,50,SUP018,C,True,,aviation_parts/parts_master/parts_master.csv
P00009,Structure,3012.47,22,SUP012,A,False,,aviation_parts/parts_master/parts_master.csv
P00010,Electrical,1488.91,33,SUP036,C,False,,aviation_parts/parts_master/parts_master.csv
P00011,Fasteners,538.02,40,SUP030,C,False,,aviation_parts/parts_master/parts_master.csv
P00012,Engine,355.03,49,SUP030,C,True,,aviation_parts/parts_master/parts_master.csv
P00013,Avionics,1751.39,33,SUP012,A,False,,aviation_parts/parts_master/parts_master.csv
P00014,Hydraulics,188.10,46,SUP040,C,True,,aviation_parts/parts_master/parts_master.csv
P00015,Engine,3003.43,36,SUP019,A,False,,aviation_parts/parts_master/parts_master.csv
P00016,LandingGear,2044.15,15,SUP022,B,True,,aviation_parts/parts_master/parts_master.csv
P00017,Cabin,6462.47,44,SUP031,A,False,,aviation_parts/parts_master/parts_master.csv
P00018,Cabin,1153.39,44,SUP027,C,False,,aviation_parts/parts_master/parts_master.csv
P00019,Fasteners,2838.25,34,SUP007,B,False,,aviation_parts/parts_master/parts_master.csv
P00020,Hydraulics,295.40,46,SUP013,C,True,950,aviation_parts/parts_master/parts_master.csv
P00021,Hydraulics,415.37,49,SUP015,C,True,709,aviation_parts/parts_master/parts_master.csv
P00022,Hydraulics,5429.21,49,SUP038,A,True,,aviation_parts/parts_master/parts_master.csv
P00023,Structure,2333.09,40,SUP029,A,False,,aviation_parts/parts_master/parts_master.csv
P00024,Fasteners,7635.37,45,SUP015,A,False,,aviation_parts/parts_master/parts_master.csv
P00025,Structure,449.80,37,SUP030,C,False,,aviation_parts/parts_master/parts_master.csv
P00026,Fasteners,1094.97,35,SUP030,C,False,,aviation_parts/parts_master/parts_master.csv
P00027,Avionics,850.73,43,SUP016,B,False,,aviation_parts/parts_master/parts_master.csv
P00028,Engine,471.91,30,SUP017,C,True,,aviation_parts/parts_master/parts_master.csv
P00029,Structure,4196.96,33,SUP036,A,False,,aviation_parts/parts_master/parts_master.csv
P00030,Hydraulics,294.96,50,SUP023,C,True,,aviation_parts/parts_master/parts_master.csv
P00031,Engine,472.16,59,SUP006,C,False,,aviation_parts/parts_master/parts_master.csv
P00032,Electrical,991.12,35,SUP029,C,False,,aviation_parts/parts_master/parts_master.csv
P00033,Hydraulics,276.87,49,SUP024,C,False,,aviation_parts/parts_master/parts_master.csv
P00034,Fasteners,684.58,57,SUP021,C,False,,aviation_parts/parts_master/parts_master.csv
P00035,Hydraulics,4780.74,40,SUP030,A,False,,aviation_parts/parts_master/parts_master.csv
P00036,Structure,855.05,34,SUP037,B,False,,aviation_parts/parts_master/parts_master.csv
P00037,Electrical,6621.05,37,SUP014,A,False,530,aviation_parts/parts_master/parts_master.csv
P00038,Fasteners,1144.08,24,SUP017,C,False,,aviation_parts/parts_master/parts_master.csv
P00039,LandingGear,1599.03,27,SUP008,C,True,,aviation_parts/parts_master/parts_master.csv
P00040,Structure,166.51,61,SUP026,C,False,,aviation_parts/parts_master/parts_master.csv
P00041,Fasteners,700.78,24,SUP017,C,False,,aviation_parts/parts_master/parts_master.csv
P00042,Fasteners,2238.82,42,SUP014,B,False,,aviation_parts/parts_master/parts_master.csv
P00043,Electrical,1779.33,21,SUP028,C,False,500,aviation_parts/parts_master/parts_master.csv
P00044,Hydraulics,1222.57,25,SUP017,B,True,,aviation_parts/parts_master/parts_master.csv
P00045,Fasteners,4045.15,29,SUP019,B,False,,aviation_parts/parts_master/parts_master.csv
P00046,Avionics,174.12,51,SUP018,C,False,,aviation_parts/parts_master/parts_master.csv
P00047,Avionics,175.38,47,SUP011,C,True,,aviation_parts/parts_master/parts_master.csv
P00048,Fasteners,1384.03,63,SUP006,C,False,,aviation_parts/parts_master/parts_master.csv
P00049,Fasteners,10717.62,45,SUP034,A,False,,aviation_parts/parts_master/parts_master.csv
P00050,Structure,448.26,36,SUP004,C,False,,aviation_parts/parts_master/parts_master.csv
P00051,LandingGear,8954.31,39,SUP013,A,True,,aviation_parts/parts_master/parts_master.csv
P00052,Electrical,1176.07,28,SUP027,C,False,,aviation_parts/parts_master/parts_master.csv
P00053,Engine,501.15,65,SUP006,C,False,,aviation_parts/parts_master/parts_master.csv
P00054,Fasteners,4059.97,38,SUP027,B,False,,aviation_parts/parts_master/parts_master.csv
P00055,Structure,4354.59,34,SUP030,A,False,,aviation_parts/parts_master/parts_master.csv
P00056,Cabin,1158.25,49,SUP027,B,False,,aviation_parts/parts_master/parts_master.csv
P00057,Avionics,118.18,56,SUP013,C,True,,aviation_parts/parts_master/parts_master.csv
P00058,Hydraulics,1572.49,41,SUP001,B,True,842,aviation_parts/parts_master/parts_master.csv
P00059,Cabin,1183.97,46,SUP036,C,False,,aviation_parts/parts_master/parts_master.csv
P00060,Cabin,546.59,52,SUP014,C,False,,aviation_parts/parts_master/parts_master.csv
P00061,Structure,192.94,82,SUP033,C,False,,aviation_parts/parts_master/parts_master.csv
P00062,Electrical,9803.25,24,SUP008,A,False,,aviation_parts/parts_master/parts_master.csv
P00063,Avionics,359.45,36,SUP007,C,False,,aviation_parts/parts_master/parts_master.csv
P00064,Structure,1813.76,29,SUP032,B,False,,aviation_parts/parts_master/parts_master.csv
P00065,Fasteners,1417.61,47,SUP038,C,False,,aviation_parts/parts_master/parts_master.csv
P00066,Fasteners,1038.90,32,SUP035,C,False,,aviation_parts/parts_master/parts_master.csv
P00067,LandingGear,788.20,27,SUP031,C,True,,aviation_parts/parts_master/parts_master.csv
P00068,LandingGear,1081.77,24,SUP010,C,True,,aviation_parts/parts_master/parts_master.csv
P00069,Avionics,2074.07,35,SUP037,A,True,,aviation_parts/parts_master/parts_master.csv
P00070,Electrical,747.93,26,SUP027,C,False,887,aviation_parts/parts_master/parts_master.csv
P00071,Avionics,1389.28,33,SUP007,B,True,,aviation_parts/parts_master/parts_master.csv
P00072,Fasteners,5776.32,53,SUP006,B,False,,aviation_parts/parts_master/parts_master.csv
P00073,Avionics,3427.65,33,SUP035,A,True,,aviation_parts/parts_master/parts_master.csv
P00074,Electrical,6860.32,22,SUP012,A,False,1049,aviation_parts/parts_master/parts_master.csv
P00075,Engine,1671.55,44,SUP031,B,False,,aviation_parts/parts_master/parts_master.csv
P00076,Structure,1209.39,52,SUP006,B,False,,aviation_parts/parts_master/parts_master.csv
P00077,Fasteners,3610.51,32,SUP012,B,False,,aviation_parts/parts_master/parts_master.csv
P00078,Electrical,1652.36,18,SUP012,C,False,795,aviation_parts/parts_master/parts_master.csv
P00079,Electrical,1332.70,19,SUP012,C,False,,aviation_parts/parts_master/parts_master.csv
P00080,Cabin,2645.52,46,SUP027,B,False,,aviation_parts/parts_master/parts_master.csv
P00081,Electrical,3484.88,22,SUP037,B,False,,aviation_parts/parts_master/parts_master.csv
P00082,Electrical,3141.79,28,SUP037,B,False,,aviation_parts/parts_master/parts_master.csv
P00083,Fasteners,633.81,36,SUP030,C,False,,aviation_parts/parts_master/parts_master.csv
P00084,Avionics,698.37,56,SUP009,B,False,,aviation_parts/parts_master/parts_master.csv
P00085,Cabin,5707.21,46,SUP039,A,False,,aviation_parts/parts_master/parts_master.csv
P00086,Cabin,1304.63,34,SUP022,B,False,,aviation_parts/parts_master/parts_master.csv
P00087,Fasteners,5571.11,23,SUP022,B,False,,aviation_parts/parts_master/parts_master.csv
P00088,Structure,1770.73,34,SUP029,B,False,,aviation_parts/parts_master/parts_master.csv
P00089,Cabin,1257.21,48,SUP031,C,False,,aviation_parts/parts_master/parts_master.csv
P00090,Avionics,283.75,39,SUP039,C,True,,aviation_parts/parts_master/parts_master.csv
P00091,Electrical,1711.80,42,SUP024,C,False,,aviation_parts/parts_master/parts_master.csv
P00092,Avionics,260.60,49,SUP025,C,True,,aviation_parts/parts_master/parts_master.csv
P00093,Engine,509.04,42,SUP030,C,False,,aviation_parts/parts_master/parts_master.csv
P00094,LandingGear,1920.47,29,SUP011,B,True,,aviation_parts/parts_master/parts_master.csv
P00095,Engine,544.85,56,SUP013,C,True,,aviation_parts/parts_master/parts_master.csv
P00096,Engine,484.29,72,SUP026,C,True,,aviation_parts/parts_master/parts_master.csv
P00097,Hydraulics,701.96,43,SUP003,B,False,,aviation_parts/parts_master/parts_master.csv
P00098,Electrical,1048.02,43,SUP013,C,False,,aviation_parts/parts_master/parts_master.csv
P00099,Engine,1205.13,51,SUP029,B,True,,aviation_parts/parts_master/parts_master.csv
P00100,Avionics,486.84,43,SUP040,C,False,,aviation_parts/parts_master/parts_master.csv
P00101,Cabin,1068.38,62,SUP021,C,False,,aviation_parts/parts_master/parts_master.csv
P00102,Electrical,1071.25,30,SUP016,C,False,,aviation_parts/parts_master/parts_master.csv
P00103,Fasteners,1290.90,42,SUP018,C,False,,aviation_parts/parts_master/parts_master.csv
P00104,Engine,481.56,29,SUP028,C,True,,aviation_parts/parts_master/parts_master.csv
P00105,Structure,344.57,22,SUP022,C,False,,aviation_parts/parts_master/parts_master.csv
P00106,Avionics,177.67,49,SUP001,C,True,,aviation_parts/parts_master/parts_master.csv
P00107,Engine,1175.42,36,SUP022,B,True,,aviation_parts/parts_master/parts_master.csv
P00108,Cabin,601.72,36,SUP017,C,False,,aviation_parts/parts_master/parts_master.csv
P00109,Engine,800.02,50,SUP029,B,True,,aviation_parts/parts_master/parts_master.csv
P00110,Fasteners,12558.79,39,SUP036,A,False,,aviation_parts/parts_master/parts_master.csv
P00111,Cabin,7951.34,52,SUP039,A,False,,aviation_parts/parts_master/parts_master.csv
P00112,Hydraulics,226.73,51,SUP025,C,True,728,aviation_parts/parts_master/parts_master.csv
P00113,Engine,4031.30,51,SUP015,A,True,,aviation_parts/parts_master/parts_master.csv
P00114,LandingGear,3989.96,36,SUP018,B,True,,aviation_parts/parts_master/parts_master.csv
P00115,Cabin,2958.23,43,SUP008,B,False,,aviation_parts/parts_master/parts_master.csv
P00116,Cabin,2923.87,54,SUP038,B,False,,aviation_parts/parts_master/parts_master.csv
P00117,Engine,1256.23,50,SUP034,B,True,,aviation_parts/parts_master/parts_master.csv
P00118,Engine,352.76,39,SUP035,C,True,,aviation_parts/parts_master/parts_master.csv
P00119,Electrical,6480.24,33,SUP014,A,False,,aviation_parts/parts_master/parts_master.csv
P00120,Fasteners,1334.93,46,SUP013,C,False,,aviation_parts/parts_master/parts_master.csv
P00121,Avionics,296.35,26,SUP035,C,True,,aviation_parts/parts_master/parts_master.csv
P00122,Fasteners,4852.65,24,SUP022,B,False,,aviation_parts/parts_master/parts_master.csv
