source_supplier_id,parts_count,source
SUP001,7,aviation_parts/parts_master/parts_master.csv
SUP002,6,aviation_parts/parts_master/parts_master.csv
SUP003,6,aviation_parts/parts_master/parts_master.csv
SUP004,6,aviation_parts/parts_master/parts_master.csv
SUP005,6,aviation_parts/parts_master/parts_master.csv
SUP006,10,aviation_parts/parts_master/parts_master.csv
SUP007,9,aviation_parts/parts_master/parts_master.csv
SUP008,6,aviation_parts/parts_master/parts_master.csv
SUP009,5,aviation_parts/parts_master/parts_master.csv
SUP010,9,aviation_parts/parts_master/parts_master.csv
SUP011,5,aviation_parts/parts_master/parts_master.csv
SUP012,14,aviation_parts/parts_master/parts_master.csv
SUP013,13,aviation_parts/parts_master/parts_master.csv
SUP014,9,aviation_parts/parts_master/parts_master.csv
SUP015,7,aviation_parts/parts_master/parts_master.csv
SUP016,4,aviation_parts/parts_master/parts_master.csv
SUP017,12,aviation_parts/parts_master/parts_master.csv
SUP018,6,aviation_parts/parts_master/parts_master.csv
SUP019,8,aviation_parts/parts_master/parts_master.csv
SUP020,4,aviation_parts/parts_master/parts_master.csv
SUP021,6,aviation_parts/parts_master/parts_master.csv
SUP022,7,aviation_parts/parts_master/parts_master.csv
SUP023,4,aviation_parts/parts_master/parts_master.csv
SUP024,6,aviation_parts/parts_master/parts_master.csv
SUP025,5,aviation_parts/parts_master/parts_master.csv
SUP026,7,aviation_parts/parts_master/parts_master.csv
SUP027,11,aviation_parts/parts_master/parts_master.csv
SUP028,8,aviation_parts/parts_master/parts_master.csv
SUP029,8,aviation_parts/parts_master/parts_master.csv
SUP030,12,aviation_parts/parts_master/parts_master.csv
SUP031,9,aviation_parts/parts_master/parts_master.csv
SUP032,5,aviation_parts/parts_master/parts_master.csv
SUP033,7,aviation_parts/parts_master/parts_master.csv
SUP034,7,aviation_parts/parts_master/parts_master.csv
SUP035,7,aviation_parts/parts_master/parts_master.csv
SUP036,8,aviation_parts/parts_master/parts_master.csv
SUP037,8,aviation_parts/parts_master/parts_master.csv
SUP038,8,aviation_parts/parts_master/parts_master.csv
SUP039,4,aviation_parts/parts_master/parts_master.csv
SUP040,11,aviation_parts/parts_master/parts_master.csv
